"CODE","NAME","POSTCODE","NUMBER_OF_PRACTITIONERS","NUMBER_OF_PATIENTS","latitude","longitude"
"A89013","THE NEW CITY MEDICAL GROUP","SR1 2QB",12,5056,54.904428,-1.376595
"A89015","FULWELL MEDICAL CENTRE,","SR6 8DZ",17,9172,54.930486,-1.383012
"A89016","ST BEDE MEDICAL CENTRE","SR6 0QQ",9,8845,54.913836,-1.378165
"A89017","MILLFIELD MEDICAL GROUP","SR4 7AF",16,13831,54.906923,-1.395769
"A89018","ASHBURN MEDICAL CENTRE","SR2 8JG",11,5039,54.895168,-1.374025
"A89019","BRIDGE VIEW MEDICAL GROUP","SR5 2LT",20,14909,54.919455,-1.401824
"A89020","FORGE MEDICAL PRACTICE","SR4 6QE",16,9509,54.910063,-1.412694
"A89021","KEPIER MEDICAL PRACTICE","DH4 5EQ",15,8288,54.845032,-1.47876
"A89022","CONCORD MEDICAL PRACTICE","NE37 2PU",9,5270,54.913411,-1.524864
"A89023","HOUGHTON MEDICAL GROUP,","DH4 4DN",10,7910,54.842322,-1.469175
"A89024","THE BROADWAY MEDICAL PRACTICE","SR3 4HG",11,6153,54.890239,-1.422181
"A89025","SUNDERLAND GP ALLIANCE MEDICAL PRACTICE","NE38 7NQ",21,12351,54.898814,-1.531242
"A89026","NEW WASHINGTON MEDICAL GROUP","NE37 2PU",8,7467,54.913411,-1.524864
"A89027","SPRINGWELL MEDICAL GROUP","SR3 4HG",15,6353,54.890239,-1.422181
"A89028","GRANGEWOOD SURGERY","DH4 4RB",10,7180,54.866414,-1.498711
"A89030","WESTBOURNE MEDICAL GROUP","DH4 4RW",11,6338,54.866868,-1.495464
"A89031","HYLTON MEDICAL GROUP","SR4 7XF",14,5172,54.908604,-1.414195
"A89032","NEW SILKSWORTH MEDICAL PRACTICE","SR3 2AN",17,9874,54.870954,-1.407217
"A89034","PARK LANE PRACTICE","SR2 7BA",3,3964,54.901305,-1.384378
"A89035","SOUTHLANDS MEDICAL GROUP","SR2 0RX",6,8713,54.871306,-1.368471
"A89036","CASTLETOWN MEDICAL CENTRE","SR5 3EX",6,2224,54.913341,-1.450848
"A89040","MONKWEARMOUTH HEALTH CENTRE","SR6 0AB",5,4647,54.913135,-1.381655
"A89041","HAPPY HOUSE SURGERY","SR3 4BY",10,7073,54.885012,-1.422785
"A89614","SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG","SR4 0LS",10,4102,54.904224,-1.449615
"A89616","RICKLETON MEDICAL CENTRE","NE38 9EH",4,2284,54.880193,-1.547496
"A89617","I J HEALTHCARE","NE38 9AB",8,4013,54.88104,-1.531354
"A89623","CHESTER SURGERY","SR4 7TU",4,2738,54.901075,-1.406774
"Y01262","PALLION PRIMARY CARE SERVICES","SR4 7XF",8,23,54.908604,-1.414195
"P81005","LITTLE HARWOOD HEALTH CENTRE","BB1 6PH",13,11816,53.758668,-2.467263
"P81022","WITTON MEDICAL CENTRE","BB2 2SU",11,10523,53.740232,-2.507553
"P81051","DARWEN HEALTHCARE","BB3 1PY",22,12991,53.695744,-2.471427
"P81058","ST GEORGES SURGERY","BB2 3HS",13,9584,53.738511,-2.475711
"P81061","REDLAM SURGERY","BB2 1UW",6,4593,53.742584,-2.503837
"P81125","OAKENHURST MEDICAL PRACTICE","BB2 1AX",9,10100,53.750552,-2.486748
"P81140","DARWEN HEALTHLINK","BB3 1PY",11,15935,53.695744,-2.471427
"P81155","BROWNHILL SURGERY","BB1 9BA",2,5245,53.775276,-2.479328
"P81167","STEPPING STONE PRACTICE","BB1 1XA",3,5625,53.747582,-2.456646
"P81214","LIMEFIELD SURGERY","BB2 6PL",3,4205,53.749882,-2.503894
"P81622","SHIFA SURGERY","BB1 6DY",7,10848,53.757295,-2.475999
"P81633","SPRING-FENISCO HEALTHLINK","BB3 1BZ",5,3254,53.691098,-2.46668
"P81683","OLIVE MEDICAL CENTRE","BB1 7EP",9,7549,53.752309,-2.484193
"P81694","FAMILY PRACTICE","BB2 1AX",6,5266,53.750552,-2.486748
"P81704","BLAKEWATER HEALTHCARE","BB1 9SR",9,11286,53.76497,-2.473916
"P81707","WILLIAM HOPWOOD STREET SURGERY","BB1 1LX",8,5453,53.746299,-2.467033
"P81709","ROMAN ROAD HEALTH CENTRE","BB2 3UY",6,4948,53.728431,-2.472202
"P81721","HOLLINS GROVE SURGERY","BB3 1ET",2,2579,53.705346,-2.477472
"P81724","PRINGLE STREET SURGERY","BB1 1SB",4,2389,53.742039,-2.467594
"P81734","THE CORNERSTONE PRACTICE","BB1 2HR",17,19186,53.739837,-2.452861
"P81771","PRIMROSE BANK MEDICAL CENTRE","BB1 5ER",8,9664,53.752542,-2.475521
"Y02657","BENTHAM ROAD HEALTH CENTRE","BB2 4QD",11,7789,53.730584,-2.50627
"P81004","ELIZABETH STREET SURGERY","FY1 3JG",4,1643,53.820839,-3.043658
"P81016","WATERLOO MEDICAL CENTRE","FY4 3AD",13,12249,53.799804,-3.041431
"P81042","ADELAIDE STREET SURGERY","FY1 4LN",13,13268,53.817351,-3.048397
"P81043","SOUTH KING STREET MEDICAL CENTRE","FY1 4NF",6,6009,53.816775,-3.047855
"P81054","MARTON MEDICAL PRACTICE","FY3 9ES",5,9446,53.812843,-3.034524
"P81063","ST PAULS MEDICAL CENTRE","FY1 2HH",14,11631,53.828701,-3.053197
"P81066","LAYTON MEDICAL CENTRE","FY3 7EN",9,7815,53.827425,-3.027291
"P81072","GLENROYD MEDICAL CENTRE","FY2 0JG",15,14486,53.849555,-3.033503
"P81073","CLEVELEYS GROUP PRACTICE","FY5 3LF",10,12544,53.875111,-3.042545
"P81074","HIGHFIELD SURGERY","FY4 1TJ",19,13526,53.781401,-3.047383
"P81081","ARNOLD MEDICAL CENTRE","FY4 2EF",5,5214,53.78968,-3.038026
"P81092","THE CRESCENT SURGERY","FY5 3LF",8,8132,53.875111,-3.042545
"P81115","BLOOMFIELD MEDICAL CENTRE","FY1 6JW",21,15711,53.804417,-3.043644
"P81159","STONYHILL MEDICAL PRACTICE","FY4 1TJ",9,12706,53.781401,-3.047383
"P81172","NEWTON DRIVE HEALTH CENTRE","FY3 8NX",11,11385,53.825242,-3.0144
"P81681","NORTH SHORE SURGERY","FY2 0JG",12,13769,53.849555,-3.033503
"P81714","ABBEY DALE MEDICAL CENTRE","FY4 5AU",5,5942,53.788194,-3.02434
"Y02157","PIER SCHEME","FY1 6JX",1,1,53.805489,-3.04853
"Y05788","COMPASS MEDICAL PRACTICE","FY1 9NP",17,240,53.818696,-3.051848
"P82001","THE DUNSTAN PARTNERSHIP","BL2 6NT",14,10420,53.582354,-2.384279
"P82002","PIKES LANE 1","BL3 5HP",11,7611,53.572728,-2.446348
"P82003","KILDONAN HOUSE","BL6 5NW",12,15729,53.594788,-2.545363
"P82004","SWAN LANE MEDICAL CENTRE","BL3 6TL",8,9142,53.566945,-2.442391
"P82005","STABLE FOLD SURGERY","BL5 3SF",9,7005,53.552405,-2.52343
"P82006","DR MALHOTRA & PARTNERS","BL6 7AS",6,8101,53.601383,-2.547745
"P82007","KEARSLEY MEDICAL CENTRE","BL4 8EP",24,13538,53.543205,-2.382838
"P82008","STONEHILL MEDICAL CENTRE","BL4 9QZ",26,13853,53.543635,-2.402444
"P82009","ST HELENS ROAD PRACTICE","BL3 3RR",10,6711,53.559568,-2.457847
"P82010","DALEFIELD SURGERY","BL1 4JP",10,7691,53.588167,-2.451813
"P82011","TONGE FOLD HEALTH CENTRE","BL2 6DY",7,6528,53.579119,-2.405772
"P82012","OCTAGON MEDICAL CENTRE","BL1 1SQ",9,6154,53.576864,-2.431198
"P82013","LEVER CHAMBERS 2","BL3 6RN",12,3773,53.565624,-2.432443
"P82014","SPRING HOUSE SURGERY","BL1 6AF",6,6602,53.588374,-2.463553
"P82015","UNSWORTH GROUP PRACTICE","BL5 3UB",24,20438,53.550458,-2.508554
"P82016","HARWOOD MEDICAL CENTRE","BL2 3HQ",11,11705,53.604069,-2.398153
"P82018","THE ALASTAIR ROSS MEDICAL PRACTICE","BL2 6NT",9,7063,53.582354,-2.384279
"P82020","LITTLE LEVER HEALTH CENTRE 1","BL3 1JF",4,4387,53.559818,-2.370624
"P82021","THE OAKS FAMILY PRACTICE","BL1 8UP",16,7314,53.597486,-2.415226
"P82022","DR RIZWAN AND DR AWAN","BL1 3RG",6,4594,53.588322,-2.431738
"P82023","MANDALAY MEDICAL CENTRE","BL1 7LR",14,9210,53.610583,-2.432114
"P82025","BURNSIDE SURGERY","BL1 8TU",8,4828,53.592518,-2.424635
"P82029","HALLIWELL SURGERY 2","BL1 3RG",5,3573,53.588322,-2.431738
"P82030","DEANE MEDICAL CENTRE","BL3 5AH",5,3752,53.572699,-2.441983
"P82031","HEATON MEDICAL CENTRE","BL1 5PU",13,10901,53.587999,-2.469348
"P82033","BRADFORD STREET SURGERY","BL2 1HT",3,2075,53.576838,-2.418225
"P82034","EDGWORTH MEDICAL CENTRE","BL7 9RG",9,3286,53.617589,-2.426383
"P82036","LITTLE LEVER HEALTH CENTRE 2","BL3 1JF",6,2891,53.559818,-2.370624
"P82037","FIG TREE MEDICAL PRACTICE","BL4 9AL",5,4769,53.546194,-2.392388
"P82607","CROMPTON VIEW SURGERY","BL1 8UP",6,5535,53.597486,-2.415226
"P82609","SHANTI MEDICAL CENTRE","BL3 3PH",7,6255,53.563369,-2.451458
"P82613","SPRING VIEW MEDICAL CENTRE","BL3 1HQ",4,5193,53.560837,-2.369742
"P82616","BEEHIVE SURGERY","BL3 2JR",7,3972,53.564161,-2.419172
"P82624","ORIENT HOUSE MEDICAL CENTRE","BL3 5QE",6,3408,53.568942,-2.460819
"P82625","CHARLOTTE STREET SURGERY","BL1 8TU",2,2240,53.592518,-2.424635
"P82626","HALLIWELL SURGERY 3","BL1 3RG",6,4775,53.588322,-2.431738
"P82627","CORNERSTONE SURGERY","BL1 6AH",10,3852,53.588155,-2.457402
"P82629","DR S NASEEF","BL3 5HP",2,2074,53.572728,-2.446348
"P82633","GREAT LEVER ONE","BL3 6RN",4,2433,53.565624,-2.432443
"P82634","WYRESDALE ROAD SURGERY","BL1 4DN",6,4232,53.581577,-2.452196
"P82640","AL FAL MEDICAL GROUP","BL3 5HP",14,4339,53.572728,-2.446348
"P82643","BROMLEY MEADOWS SURGERY","BL7 9RG",8,6980,53.617589,-2.426383
"P82652","FARNWORTH FAMILY PRACTICE","BL4 9AH",4,3742,53.546123,-2.397759
"P82660","DEANE CLINIC 1","BL3 4LU",3,3528,53.56783,-2.464368
"Y00186","3D MEDICAL CENTRE","BL3 5DP",5,1660,53.573058,-2.444008
"Y02319","BOLTON GENERAL PRACTICE","BL1 4TH",6,5970,53.577666,-2.434874
"Y02790","BOLTON MEDICAL CENTRE","BL3 6PY",4,6374,53.565509,-2.431443
"Y03079","BOLTON COMMUNITY PRACTICE","BL1 8TU",18,13723,53.592518,-2.424635
"Y03366","OLIVE FAMILY PRACTICE","BL3 5HP",3,5098,53.572728,-2.446348
"P83001","FAIRFAX GROUP PRACTICE","M25 1BT",14,12715,53.533828,-2.28357
"P83004","THE UPLANDS MEDICAL PRACTICE","M45 8GH",7,7937,53.548583,-2.295815
"P83005","TOWNSIDE SURGERY","BL9 0SN",9,4811,53.59031,-2.29898
"P83006","RAMSBOTTOM MEDICAL PRACTICE","BL0 9DD",11,8397,53.64878,-2.319287
"P83007","RADCLIFFE MEDICAL PRACTICE","M26 2SP",13,9577,53.560143,-2.323706
"P83009","BLACKFORD HOUSE MEDICAL CENTRE","BL9 8QA",9,7784,53.574203,-2.283415
"P83010","MONARCH MEDICAL CENTRE","M26 2QZ",8,3632,53.564198,-2.316823
"P83011","UNSWORTH MEDICAL CENTRE","BL9 8JR",9,7359,53.560672,-2.273089
"P83012","TOWER FAMILY HEALTHCARE","BL8 4AD",59,49847,53.614768,-2.341446
"P83015","RIBBLESDALE MEDICAL PRACTICE","BL9 0SN",11,7176,53.59031,-2.29898
"P83017","WOODBANK SURGERY","BL8 1EG",12,4969,53.60507,-2.308802
"P83021","PEEL GPS","BL9 0SN",15,10390,53.59031,-2.29898
"P83024","KNOWSLEY MEDICAL CENTRE","BL9 0ST",7,4237,53.588515,-2.300612
"P83025","ST GABRIEL'S MEDICAL CENTRE","M25 0HT",9,8673,53.520809,-2.265791
"P83027","GREYLAND MEDICAL CENTRE","M25 1NL",3,2042,53.537682,-2.27617
"P83603","RED BANK GROUP PRACTICE","M26 2SP",7,9931,53.560143,-2.323706
"P83605","WHITTAKER LANE MED CENTRE","M25 1EX",10,7759,53.528486,-2.268658
"P83608","THE ELMS MEDICAL CENTRE","M45 7FD",8,5907,53.553233,-2.295201
"P83609","THE BIRCHES MEDICAL CENTRE","M25 2GN",6,3927,53.538361,-2.271091
"P83611","WALMERSLEY ROAD MEDICAL PRACTICE","BL9 6DX",1,4214,53.599894,-2.289556
"P83612","MILE LANE HEALTH CENTRE","BL8 2JR",5,4950,53.587814,-2.335248
"P83620","GARDEN CITY MEDICAL CENTRE","BL0 9TN",6,4412,53.629515,-2.330377
"P83621","HUNTLEY MOUNT MEDICAL CENTRE","BL9 6JA",4,3229,53.600201,-2.27859
"P83623","LONGFIELD MEDICAL PRACTICE","M25 1BT",3,5150,53.533828,-2.28357
"Y02755","ROCK HEALTHCARE LIMITED","BL9 0NJ",7,9374,53.59553,-2.288591
"P81010","WITHNELL HEALTH CENTRE","PR6 8UA",4,5435,53.692491,-2.556663
"P81033","COPPULL MEDICAL PRACTICE","PR7 5EN",9,8066,53.619715,-2.662501
"P81038","THE CHORLEY SURGERY","PR7 2EJ",13,9463,53.651345,-2.632451
"P81044","LIBRARY HOUSE SURGERY","PR7 2AD",16,17006,53.650664,-2.633893
"P81057","WORDEN MEDICAL CENTRE","PR25 1HR",14,12826,53.689645,-2.709316
"P81062","REGENT HOUSE SURGERY","PR7 2DH",8,7718,53.650323,-2.635371
"P81076","SANDY LANE SURGERY","PR25 2EB",13,11172,53.690542,-2.694123
"P81082","THE RYAN MEDICAL CENTRE","PR5 6JD",9,10110,53.730399,-2.663635
"P81083","ROSLEA SURGERY","PR5 6PE",14,8625,53.733794,-2.662551
"P81117","CENTRAL PARK SURGERY","PR25 2TD",6,4533,53.695314,-2.696068
"P81127","GAB HEALTHCARE","PR7 1HR",17,4182,53.653726,-2.635888
"P81143","WHITTLE SURGERY","PR6 7PS",12,10771,53.687926,-2.639617
"P81154","GRANVILLE HOUSE MED CTRE","PR6 9PY",9,8324,53.615297,-2.598459
"P81171","THE EUXTON MEDICAL CENTRE","PR7 6AH",6,4443,53.669016,-2.676836
"P81180","CLAYTON BROOK SURGERY","PR5 8ES",6,3600,53.711845,-2.637325
"P81181","KINGSFOLD MEDICAL CENTRE","PR1 9BX",8,4673,53.735866,-2.72392
"P81186","MOSS SIDE MEDICAL CENTRE","PR26 7XL",5,4506,53.690448,-2.726835
"P81655","THE VILLAGE SURGERIES CROSTON&ECCLESTON","PR26 9HJ",6,9654,53.662028,-2.772563
"P81687","NEW LONGTON SURGERY","PR4 4LU",5,1917,53.724232,-2.743528
"P81692","BEECHES MEDICAL CENTRE","PR4 5AB",4,2056,53.725648,-2.790431
"P81701","DR DAWOUD'S SURGERY","PR6 7EH",3,3003,53.710305,-2.64115
"P81740","ADLINGTON MEDICAL CENTRE","PR6 9NW",15,10354,53.618561,-2.596009
"P81741","STATION SURGERY","PR25 1HR",9,2753,53.689645,-2.709316
"Y00347","DR R BAGHDJIAN SURGERY","PR7 2TH",3,5402,53.652566,-2.636222
"Y02466","BUCKSHAW VILLAGE HEALTH CENTRE","PR7 7HZ",11,11435,53.678415,-2.658003
"Y03656","LEYLAND SURGERY","PR25 1HR",5,5757,53.689645,-2.709316
"P85001","DONALD WILDE MEDICAL CENTRE","OL1 2HG",5,55,53.549464,-2.120459
"P85002","ST MARY'S MEDICAL CENTRE","OL1 3UL",11,5824,53.543625,-2.108554
"P85003","THE CHOWDHURY PRACTICE","OL1 1NL",4,6631,53.543824,-2.116945
"P85004","CHADDERTON MEDICAL PRACTICE","OL9 0LH",8,5256,53.545559,-2.142182
"P85005","LEESBROOK SURGERY","OL4 3DG",10,9365,53.53879,-2.07266
"P85007","OLDHAM FAMILY PRACTICE","OL1 1NL",12,3564,53.543824,-2.116945
"P85008","FAILSWORTH GROUP PRACTICE","M35 0AD",15,12146,53.509855,-2.156747
"P85010","WOODLANDS MEDICAL PRACTICE","OL9 0LH",16,13088,53.545559,-2.142182
"P85011","CH MEDICAL PRACTICE","OL9 8NH",12,8787,53.533131,-2.14508
"P85012","OLDHAM MEDICAL SERVICES","OL8 3HF",7,5305,53.525357,-2.111235
"P85013","THE ROYTON & CROMPTON FAMILY PRACTICE","OL2 6QW",30,22262,53.566109,-2.121594
"P85014","HOPWOOD HOUSE MEDICAL PRACTICE","OL4 1JN",14,5640,53.542109,-2.095467
"P85015","ALEXANDRA GROUP MED PRACT","OL4 1YN",5,7640,53.537786,-2.095095
"P85016","SADDLEWORTH MEDICAL PRACTICE","OL3 6AH",16,14022,53.548331,-2.004957
"P85017","OAK GABLES MEDICAL PRACTICE","OL2 8ST",15,9195,53.574817,-2.095994
"P85018","MD FAMILY PRACTICE","OL9 7AY",3,4486,53.53731,-2.130534
"P85019","ROYTON MEDICAL CENTRE","OL2 5QL",7,5662,53.566464,-2.126109
"P85020","SPRINGFIELD HOUSE","OL4 2RJ",11,7741,53.548913,-2.082714
"P85021","GREENBANK MEDICAL PRACTICE","OL4 1BN",9,10688,53.537929,-2.096166
"P85022","LEES MEDICAL PRACTICE","OL4 3BP",6,4552,53.540281,-2.074881
"P85026","QUAYSIDE MEDICAL PRACTICE","M35 0AD",6,6609,53.509855,-2.156747
"P85028","BLOCK LANE SURGERY","OL9 7SG",12,5502,53.535037,-2.139039
"P85601","JALAL PRACTICE","OL1 1NL",4,3114,53.543824,-2.116945
"P85602","SARAF MEDICAL PRACTICE","OL1 4JU",4,2718,53.561455,-2.076954
"P85605","LITTLETOWN FAMILY MED PRACT","OL8 4LR",8,4880,53.529137,-2.134298
"P85606","MOORSIDE MEDICAL PRACTICE","OL1 4JU",6,3721,53.561455,-2.076954
"P85608","PERKINS PRACTICE","OL1 1NL",1,2764,53.543824,-2.116945
"P85610","MEDLOCK MEDICAL PRACTICE","M35 0AD",6,4243,53.509855,-2.156747
"P85612","WERNETH MEDICAL PRACTICE","OL9 7AY",4,3193,53.53731,-2.130534
"P85614","VILLAGE MEDICAL PRACTICE","OL2 8ST",7,3414,53.574817,-2.095994
"P85615","KAPUR FAMILY CARE","OL9 7AY",5,11327,53.53731,-2.130534
"P85620","ST CHADS MEDICAL PRACTICE","OL8 3HH",9,3074,53.515222,-2.126789
"P85621","SUNVALLEY MEDICAL PRACTICE","OL4 1YN",6,5165,53.537786,-2.095095
"P85622","GLODWICK MEDICAL PRACTICE","OL4 1YN",6,5431,53.537786,-2.095095
"P89006","PENNINE MEDICAL CENTRE","OL5 9AJ",13,12042,53.515337,-2.040966
"Y01124","THE DURU PRACTICE","OL1 1NL",6,4224,53.543824,-2.116945
"Y02753","HILL TOP SURGERY","OL8 2QD",16,4755,53.52011,-2.100756
"Y02827","JOHN STREET MEDICAL PRACTICE","OL8 1DF",11,4457,53.540449,-2.119272
"Y02875","LINDLEY HOUSE HEALTH CENTRE","OL1 1NL",11,3714,53.543824,-2.116945
"Y02933","HOLLINWOOD MEDICAL PRACTICE","OL8 3TR",13,5551,53.522114,-2.127652
"P81003","ST JAMES' MEDICAL CENTRE","BB4 8HH",14,9538,53.708959,-2.289474
"P81008","YORKSHIRE STREET MEDICAL CENTRE","BB11 3BT",11,6403,53.789132,-2.234807
"P81017","WHALLEY MEDICAL CENTRE","BB7 9SL",18,14037,53.819793,-2.406348
"P81020","BURNLEY GROUP PRACTICE","BB11 2DL",21,24909,53.791263,-2.238947
"P81025","THE RICHMOND HILL PRACTICE","BB8 0JZ",10,12422,53.856378,-2.166072
"P81027","IRWELL MEDICAL PRACTICE","OL13 9NR",23,14760,53.699744,-2.198274
"P81032","REEDYFORD HLTH CARE GROUP","BB9 7SR",16,12945,53.838042,-2.21885
"P81035","COLNE ROAD SURGERY","BB10 1LS",4,6903,53.801226,-2.236848
"P81036","PEEL HOUSE MEDICAL PRACTICE","BB5 2EJ",21,16031,53.750892,-2.365995
"P81047","PARKSIDE SURGERY","BB11 1PS",13,15828,53.794992,-2.24123
"P81053","BRIERCLIFFE SURGERY","BB10 2EZ",5,8000,53.810388,-2.212859
"P81065","THE PENDLE MEDICAL PARTNERSHIP","BB18 6QT",19,15114,53.915882,-2.144307
"P81069","PENDLESIDE MEDICAL PRACT","BB7 2JG",14,11320,53.873954,-2.3932
"P81070","PENDLE VIEW MEDICAL CTRE","BB9 5RZ",7,7712,53.826033,-2.232234
"P81078","BARNOLDSWICK MED CTR","BB18 5BG",12,11863,53.915192,-2.185854
"P81088","WHITWORTH MEDICAL CENTRE","OL12 8QS",10,7244,53.661184,-2.173956
"P81095","THURSBY SURGERY","BB10 3BF",8,8689,53.800664,-2.231682
"P81099","HASLINGDEN HEALTHCARE LTD","BB4 5SL",4,10755,53.703953,-2.324674
"P81100","THE CASTLE MEDICAL GROUP","BB7 2JG",26,14848,53.873954,-2.3932
"P81118","ILEX VIEW MEDICAL PRACTICE","BB4 7PL",8,8890,53.70081,-2.280663
"P81123","PWE PENDLE VALLEY MILL","BB9 7SR",16,13627,53.838042,-2.21885
