"","CODE","NAME","POSTCODE","Number_of_Practitioners","NUMBER_OF_PATIENTS"
"180","P82640","AL FAL MEDICAL GROUP","BL3 5HP",14,4339
"181","P82643","BROMLEY MEADOWS SURGERY","BL7 9RG",8,6980
"182","P82652","FARNWORTH FAMILY PRACTICE","BL4 9AH",4,3742
"183","P82660","DEANE CLINIC 1","BL3 4LU",3,3528
"184","Y00186","3D MEDICAL CENTRE","BL3 5DP",5,1660
"185","Y02319","BOLTON GENERAL PRACTICE","BL1 4TH",6,5970
"186","Y02790","BOLTON MEDICAL CENTRE","BL3 6PY",4,6374
"187","Y03079","BOLTON COMMUNITY PRACTICE","BL1 8TU",18,13723
"188","Y03366","OLIVE FAMILY PRACTICE","BL3 5HP",3,5098
"189","P83001","FAIRFAX GROUP PRACTICE","M25 1BT",14,12715
"190","P83004","THE UPLANDS MEDICAL PRACTICE","M45 8GH",7,7937
"191","P83005","TOWNSIDE SURGERY","BL9 0SN",9,4811
"192","P83006","RAMSBOTTOM MEDICAL PRACTICE","BL0 9DD",11,8397
"193","P83007","RADCLIFFE MEDICAL PRACTICE","M26 2SP",13,9577
"194","P83009","BLACKFORD HOUSE MEDICAL CENTRE","BL9 8QA",9,7784
"195","P83010","MONARCH MEDICAL CENTRE","M26 2QZ",8,3632
"196","P83011","UNSWORTH MEDICAL CENTRE","BL9 8JR",9,7359
"197","P83012","TOWER FAMILY HEALTHCARE","BL8 4AD",59,49847
"198","P83015","RIBBLESDALE MEDICAL PRACTICE","BL9 0SN",11,7176
"199","P83017","WOODBANK SURGERY","BL8 1EG",12,4969
"200","P83021","PEEL GPS","BL9 0SN",15,10390
"201","P83024","KNOWSLEY MEDICAL CENTRE","BL9 0ST",7,4237
"202","P83025","ST GABRIEL'S MEDICAL CENTRE","M25 0HT",9,8673
"203","P83027","GREYLAND MEDICAL CENTRE","M25 1NL",3,2042
"204","P83603","RED BANK GROUP PRACTICE","M26 2SP",7,9931
"205","P83605","WHITTAKER LANE MED CENTRE","M25 1EX",10,7759
"206","P83608","THE ELMS MEDICAL CENTRE","M45 7FD",8,5907
"207","P83609","THE BIRCHES MEDICAL CENTRE","M25 2GN",6,3927
"208","P83611","WALMERSLEY ROAD MEDICAL PRACTICE","BL9 6DX",1,4214
"209","P83612","MILE LANE HEALTH CENTRE","BL8 2JR",5,4950
"210","P83620","GARDEN CITY MEDICAL CENTRE","BL0 9TN",6,4412
"211","P83621","HUNTLEY MOUNT MEDICAL CENTRE","BL9 6JA",4,3229
"212","P83623","LONGFIELD MEDICAL PRACTICE","M25 1BT",3,5150
"213","Y02755","ROCK HEALTHCARE LIMITED","BL9 0NJ",7,9374
"214","P81010","WITHNELL HEALTH CENTRE","PR6 8UA",4,5435
"215","P81033","COPPULL MEDICAL PRACTICE","PR7 5EN",9,8066
"216","P81038","THE CHORLEY SURGERY","PR7 2EJ",13,9463
"217","P81044","LIBRARY HOUSE SURGERY","PR7 2AD",16,17006
"218","P81057","WORDEN MEDICAL CENTRE","PR25 1HR",14,12826
"219","P81062","REGENT HOUSE SURGERY","PR7 2DH",8,7718
"220","P81076","SANDY LANE SURGERY","PR25 2EB",13,11172
"221","P81082","THE RYAN MEDICAL CENTRE","PR5 6JD",9,10110
"222","P81083","ROSLEA SURGERY","PR5 6PE",14,8625
"223","P81117","CENTRAL PARK SURGERY","PR25 2TD",6,4533
"224","P81127","GAB HEALTHCARE","PR7 1HR",17,4182
"225","P81143","WHITTLE SURGERY","PR6 7PS",12,10771
"226","P81154","GRANVILLE HOUSE MED CTRE","PR6 9PY",9,8324
"227","P81171","THE EUXTON MEDICAL CENTRE","PR7 6AH",6,4443
"228","P81180","CLAYTON BROOK SURGERY","PR5 8ES",6,3600
"229","P81181","KINGSFOLD MEDICAL CENTRE","PR1 9BX",8,4673
"230","P81186","MOSS SIDE MEDICAL CENTRE","PR26 7XL",5,4506
"231","P81655","THE VILLAGE SURGERIES CROSTON&ECCLESTON","PR26 9HJ",6,9654
"232","P81687","NEW LONGTON SURGERY","PR4 4LU",5,1917
"233","P81692","BEECHES MEDICAL CENTRE","PR4 5AB",4,2056
"234","P81701","DR DAWOUD'S SURGERY","PR6 7EH",3,3003
"235","P81740","ADLINGTON MEDICAL CENTRE","PR6 9NW",15,10354
"236","P81741","STATION SURGERY","PR25 1HR",9,2753
"237","Y00347","DR R BAGHDJIAN SURGERY","PR7 2TH",3,5402
"238","Y02466","BUCKSHAW VILLAGE HEALTH CENTRE","PR7 7HZ",11,11435
"239","Y03656","LEYLAND SURGERY","PR25 1HR",5,5757
"240","P85001","DONALD WILDE MEDICAL CENTRE","OL1 2HG",5,55
"241","P85002","ST MARY'S MEDICAL CENTRE","OL1 3UL",11,5824
"242","P85003","THE CHOWDHURY PRACTICE","OL1 1NL",4,6631
"243","P85004","CHADDERTON MEDICAL PRACTICE","OL9 0LH",8,5256
"244","P85005","LEESBROOK SURGERY","OL4 3DG",10,9365
"245","P85007","OLDHAM FAMILY PRACTICE","OL1 1NL",12,3564
"246","P85008","FAILSWORTH GROUP PRACTICE","M35 0AD",15,12146
"247","P85010","WOODLANDS MEDICAL PRACTICE","OL9 0LH",16,13088
"248","P85011","CH MEDICAL PRACTICE","OL9 8NH",12,8787
"249","P85012","OLDHAM MEDICAL SERVICES","OL8 3HF",7,5305
"250","P85013","THE ROYTON & CROMPTON FAMILY PRACTICE","OL2 6QW",30,22262
"251","P85014","HOPWOOD HOUSE MEDICAL PRACTICE","OL4 1JN",14,5640
"252","P85015","ALEXANDRA GROUP MED PRACT","OL4 1YN",5,7640
"253","P85016","SADDLEWORTH MEDICAL PRACTICE","OL3 6AH",16,14022
"254","P85017","OAK GABLES MEDICAL PRACTICE","OL2 8ST",15,9195
"255","P85018","MD FAMILY PRACTICE","OL9 7AY",3,4486
"256","P85019","ROYTON MEDICAL CENTRE","OL2 5QL",7,5662
"257","P85020","SPRINGFIELD HOUSE","OL4 2RJ",11,7741
"258","P85021","GREENBANK MEDICAL PRACTICE","OL4 1BN",9,10688
"259","P85022","LEES MEDICAL PRACTICE","OL4 3BP",6,4552
"260","P85026","QUAYSIDE MEDICAL PRACTICE","M35 0AD",6,6609
"261","P85028","BLOCK LANE SURGERY","OL9 7SG",12,5502
"262","P85601","JALAL PRACTICE","OL1 1NL",4,3114
"263","P85602","SARAF MEDICAL PRACTICE","OL1 4JU",4,2718
"264","P85605","LITTLETOWN FAMILY MED PRACT","OL8 4LR",8,4880
"265","P85606","MOORSIDE MEDICAL PRACTICE","OL1 4JU",6,3721
"266","P85608","PERKINS PRACTICE","OL1 1NL",1,2764
"267","P85610","MEDLOCK MEDICAL PRACTICE","M35 0AD",6,4243
"268","P85612","WERNETH MEDICAL PRACTICE","OL9 7AY",4,3193
"269","P85614","VILLAGE MEDICAL PRACTICE","OL2 8ST",7,3414
"270","P85615","KAPUR FAMILY CARE","OL9 7AY",5,11327
"271","P85620","ST CHADS MEDICAL PRACTICE","OL8 3HH",9,3074
"272","P85621","SUNVALLEY MEDICAL PRACTICE","OL4 1YN",6,5165
"273","P85622","GLODWICK MEDICAL PRACTICE","OL4 1YN",6,5431
"274","P89006","PENNINE MEDICAL CENTRE","OL5 9AJ",13,12042
"275","Y01124","THE DURU PRACTICE","OL1 1NL",6,4224
"276","Y02753","HILL TOP SURGERY","OL8 2QD",16,4755
"277","Y02827","JOHN STREET MEDICAL PRACTICE","OL8 1DF",11,4457
"278","Y02875","LINDLEY HOUSE HEALTH CENTRE","OL1 1NL",11,3714
"279","Y02933","HOLLINWOOD MEDICAL PRACTICE","OL8 3TR",13,5551
"280","P81003","ST JAMES' MEDICAL CENTRE","BB4 8HH",14,9538
"281","P81008","YORKSHIRE STREET MEDICAL CENTRE","BB11 3BT",11,6403
"282","P81017","WHALLEY MEDICAL CENTRE","BB7 9SL",18,14037
"283","P81020","BURNLEY GROUP PRACTICE","BB11 2DL",21,24909
"284","P81025","THE RICHMOND HILL PRACTICE","BB8 0JZ",10,12422
"285","P81027","IRWELL MEDICAL PRACTICE","OL13 9NR",23,14760
"286","P81032","REEDYFORD HLTH CARE GROUP","BB9 7SR",16,12945
"287","P81035","COLNE ROAD SURGERY","BB10 1LS",4,6903
"288","P81036","PEEL HOUSE MEDICAL PRACTICE","BB5 2EJ",21,16031
"289","P81047","PARKSIDE SURGERY","BB11 1PS",13,15828
"290","P81053","BRIERCLIFFE SURGERY","BB10 2EZ",5,8000
"291","P81065","THE PENDLE MEDICAL PARTNERSHIP","BB18 6QT",19,15114
"292","P81069","PENDLESIDE MEDICAL PRACT","BB7 2JG",14,11320
"293","P81070","PENDLE VIEW MEDICAL CTRE","BB9 5RZ",7,7712
"294","P81078","BARNOLDSWICK MED CTR","BB18 5BG",12,11863
"295","P81088","WHITWORTH MEDICAL CENTRE","OL12 8QS",10,7244
"296","P81095","THURSBY SURGERY","BB10 3BF",8,8689
"297","P81099","HASLINGDEN HEALTHCARE LTD","BB4 5SL",4,10755
"298","P81100","THE CASTLE MEDICAL GROUP","BB7 2JG",26,14848
"299","P81118","ILEX VIEW MEDICAL PRACTICE","BB4 7PL",8,8890
"300","P81123","PWE PENDLE VALLEY MILL","BB9 7SR",16,13627
"301","P81130","PADIHAM GROUP PRACTICE","BB12 8BP",17,13165
"302","P81132","WATERFOOT MEDICAL PRACTICE","BB4 7DN",18,8957
"303","P81137","BURNLEY WOOD MEDICAL CENTRE","BB11 3HR",6,6346
"304","P81147","ARG HEALTHCARE","BB5 0AL",4,4267
"305","P81160","OSWALD MEDICAL CENTRE","BB5 1RP",10,15145
"306","P81165","IGHTENHILL MEDICAL CENTRE","BB12 0HL",2,2384
"307","P81166","DR BELLO'S SURGERY","BB5 4LF",2,2624
"308","P81170","NELSON MEDICAL PRACTICE","BB9 7SR",3,9254
"309","P81182","RICHMOND MEDICAL CENTRE","BB5 1RT",11,6391
"310","P81197","ROSEGROVE SURGERY","BB12 6HY",5,4807
"311","P81212","HAZELVALLEY FAMILY PRACTICE","BB4 5SL",4,5094
"312","P81218","THE CLAYTON MEDICAL CTR.","BB5 5HU",5,6516
"313","P81620","SLAIDBURN HEALTH CENTRE","BB7 3EP",6,1270
"314","P81686","ROSSENDALE VALLEY MEDICAL PRACTICE","BB4 5SL",1,2570
"315","P81699","HIGHER HEYS SURGERY","BB5 3BP",2,2210
"316","P81711","DILL HALL SURGERY","BB5 4LF",2,2752
"317","P81726","KING STREET MEDICAL CTR","BB5 1QE",4,1924
"318","P81730","GREAT HARWOOD MEDICAL GROUP","BB6 7QR",8,8256
"319","P81731","DR JEHANGIR (SH)","BB9 7SR",1,2727
"320","P81732","HARAMBEE SURGERY","BB8 8QU",8,4324
"321","P81736","WHITEFIELD HEALTHCARE","BB9 7SR",6,4072
"322","P81738","GREAT HARWOOD SURGERY","BB1 4LA",3,1065
"323","P81755","THE WEAVERS PRACTICE","BB1 4LA",10,8710
"324","P81757","BARROWFORD SURGERY","BB9 8QP",1,3467
"325","P81780","RIVERSIDE FAMILY PRACTICE","BB11 2DL",2,5234
"326","Y02605","PWE ACCRINGTON VICTORIA","BB5 6AS",4,3328
"327","Y02606","FAIRMORE MEDICAL PRACTICE","BB4 7PL",7,5833
"328","P86001","MILNROW VILLAGE PRACTICE","OL16 4EG",10,6923
"329","P86002","DR GWD BHIMA","OL11 1DN",2,1615
"330","P86003","EDENFIELD ROAD SURGERY","OL11 5AQ",17,11858
"331","P86004","PETERLOO MEDICAL CENTRE","M24 4DZ",13,9409
"332","P86005","YORKSHIRE ST SURGERY","OL16 2DN",5,6341
"333","P86006","ASHWORTH STREET SURGERY","OL12 6RT",16,14585
"334","P86007","WELLFIELD HEALTH CENTRE","OL11 1AD",16,12927
"335","P86008","MARK STREET SURGERY","OL12 9BE",10,9575
"336","P86009","CASTLETON HEALTH CENTRE","OL11 3HY",12,9816
"337","P86010","THE JUNCTION SURGERY","M24 2AU",9,8527
"338","P86011","LONGFORD STREET MEDICAL CENTRE","OL10 4NH",13,8855
"339","P86012","WOODSIDE MEDICAL CENTRE","M24 5QL",10,8774
"340","P86013","HEALEY SURGERY","OL12 0SN",6,6882
"341","P86014","CROFT SHIFA HEALTH CENTRE","OL16 2UP",6,8693
"342","P86015","ROCHDALE ROAD MEDICAL CENTRE","M24 2PU",5,4375
"343","P86016","HEYWOOD HEALTH","OL10 3SD",18,9078
"344","P86017","INSPIRE MEDICAL CENTRE","OL16 2UY",3,4370
"345","P86018","LITTLEBOROUGH GROUP PRACTICE","OL15 8HF",15,8792
"346","P86019","DURNFORD MEDICAL CENTRE","M24 6DL",16,9182
"347","P86021","PENNINE SURGERY","OL15 8HF",5,3391
"348","P86022","STONEFIELD STREET SURGERY","OL16 4JQ",13,9097
"349","P86023","HOPWOOD MEDICAL CENTRE","OL10 2BS",7,8076
"350","P86026","THE DAWES FAMILY PRACTICE","OL12 6RX",9,7698
"351","P86602","HEADY HILL SURGERY","OL10 4RG",5,3444
"352","P86606","FAMILY PRACTICE","M24 4EN",5,4969
"353","P86608","THE VILLAGE MEDICAL CTR.","OL15 8AQ",12,4296
"354","P86609","THE DALE MEDICAL PRACTICE","OL11 1DN",4,2333
"355","P86614","DR A HAMID","OL11 1DN",5,4972
"356","P86619","DR MB GHAFOOR & PARTNERS","OL11 1DN",4,6614
"357","P86620","WINDERMERE SURGERY","M24 5WF",2,2489
"358","P86624","TRINITY MEDICAL CENTRE","OL15 8AR",4,4056
"359","Y00726","THE HIVE HEALTH CENTRE","M24 2YJ",5,5294
"360","Y02718","BIRTLE VIEW MEDICAL PRACTICE","OL10 4PW",7,3440
"361","Y02720","THE KINGSWAY PRACTICE","OL16 4AT",7,3406
"362","Y02721","KIRKHOLT MEDICAL PRACTICE","OL11 2JG",9,3310
"363","Y02795","MIDDLETON HEALTH CENTRE","M24 4EL",12,4255
"364","P81015","LYTHAM ROAD SURGERY","PR2 8JB",16,11327
"365","P81018","ST FILLAN'S MEDICAL CTRE","PR1 0AD",13,8508
"366","P81040","LONGTON HEALTH CENTRE","PR4 5HA",13,10806
"367","P81046","PARK VIEW SURGERY","PR1 3NA",5,6070
"368","P81055","BERRY LANE MEDICAL CENTRE","PR3 3JJ",14,12199
"369","P81067","THE HEALTHCARE CENTRE","PR1 5AF",14,13558
"370","P81071","THE NEW HALL LANE PRACTICE","PR1 5NE",10,7398
"371","P81103","NORTH PRESTON MEDICAL PRACTICE","PR2 9TH",11,10804
